monthdate,report_code,avgTone,numreport
201609.0,CI,-0.260061929,56003
201609.0,HK,-0.164382639,13054
201609.0,ID,-2.340155391,27180
201609.0,JA,-0.220998431,182416
201609.0,KS,-0.867238439,82019
201609.0,MX,-1.03668721,123680
201609.0,MY,-1.546933557,30189
201609.0,NZ,-0.456068252,22745
201609.0,PE,-1.011255997,24630
201609.0,PP,-1.321205393,2905
201609.0,RP,-3.717772791,36997
201609.0,RS,-1.794754853,556916
201609.0,SN,-0.366889758,15896
201609.0,TH,-0.576185391,52599
201609.0,TW,-0.447381218,47473
201609.0,US,-1.390268407,588386
201609.0,VM,-0.663040953,36146
201610.0,AS,-0.8598907,66846
201610.0,BX,-0.11819086,1328
201610.0,CA,0.061301532,100589
201610.0,CH,-0.370267991,226498
201610.0,CI,-0.322026678,53024
201610.0,HK,-0.48601998,10101
201610.0,ID,-2.831051179,23646
201610.0,JA,-0.111029412,174802
201610.0,KS,-0.817558308,82065
201610.0,MX,-1.075386898,105269
201610.0,MY,-1.127142411,36672
201610.0,NZ,-0.229267399,22854
201610.0,PE,-1.119771627,24665
201610.0,PP,-1.803193303,2856
201610.0,RP,-2.599960977,34295
201610.0,RS,-1.962284937,592222
201610.0,SN,-0.004895493,14064
201610.0,TH,-0.751817274,69925
201610.0,TW,0.045871627,41162
201610.0,US,-1.229338485,582474
201610.0,VM,-0.486897718,32302
201611.0,AS,-0.736514743,68211
201611.0,BX,0.000095105,983
201611.0,CA,0.14050552,101675
201611.0,CH,-0.510612637,237888
201611.0,CI,-0.231418431,64467
201611.0,HK,-0.152625599,11386
201611.0,ID,-2.868830387,28458
201611.0,JA,-0.340771065,186544
201611.0,KS,-1.573728094,88917
201611.0,MX,-0.810143941,129061
201611.0,MY,-1.293096103,29331
201611.0,NZ,-1.404912146,38230
201611.0,PE,-0.507110088,37534
201611.0,PP,-2.580094036,4419
201611.0,RP,-2.149293327,25911
201611.0,RS,-1.461444254,526282
201611.0,SN,0.259193311,11415
201611.0,TH,-0.394771454,46894
201611.0,TW,0.179671024,40585
201611.0,US,-0.761865164,693460
201611.0,VM,-0.28165129,35088
201612.0,AS,-0.603242588,64316
201612.0,BX,-0.365043471,1302
201612.0,CA,-0.027592757,87089
201612.0,CH,-0.693961774,228291
201612.0,CI,-0.420269158,54600
201612.0,HK,-0.322826845,9959
201612.0,ID,-3.512851751,38565
201612.0,JA,-0.293398796,174468
201612.0,KS,-1.28935516,83644
201612.0,MX,-1.04666299,101339
201612.0,MY,-1.105324446,27879
201612.0,NZ,-0.141112575,28336
201612.0,PE,-1.070781148,20380
201612.0,PP,-2.814138271,4257
201612.0,RP,-3.116417295,35481
201612.0,RS,-2.140890057,678068
201612.0,SN,0.001185622,10089
201612.0,TH,-0.414863034,52279
201612.0,TW,-0.4558621,58346
201612.0,US,-0.715068584,478687
201612.0,VM,-0.366313091,28510
201701.0,AS,-0.652115463,72722
201701.0,BX,-0.185236565,904
201701.0,CA,-0.834846179,93350
201701.0,CH,-0.332556163,237424
201701.0,CI,-0.803394688,61173
201701.0,HK,-0.566925738,10417
201701.0,ID,-2.109631993,27527
201701.0,JA,-0.141735302,160484
201701.0,KS,-1.246465307,81918
201701.0,MX,-1.38897311,179841
201701.0,MY,-1.390804476,33357
201701.0,NZ,-0.446099203,22924
201701.0,PE,-1.218960618,19996
201701.0,PP,-3.371121125,3756
201701.0,RP,-2.373005386,27686
201701.0,RS,-1.819844698,592293
201701.0,SN,0.436696318,9904
201701.0,TH,-0.771132227,45832
201701.0,TW,0.027385235,42706
201701.0,US,-0.878441235,597057
201701.0,VM,-0.45869867,29294
201702.0,AS,-0.784673052,68471
201702.0,BX,-0.006792771,1084
201702.0,CA,-0.170888169,87560
201702.0,CH,-0.480909794,193545
201702.0,CI,-0.63368796,53509
201702.0,HK,-0.550328392,8747
201702.0,ID,-2.564884927,31972
201702.0,JA,-0.298837131,162917
201702.0,KS,-1.057161138,73489
201702.0,MX,-1.219997674,130125
201702.0,MY,-3.535417271,56802
201702.0,NZ,-0.565879136,30303
201702.0,PE,-1.895672266,25806
201702.0,PP,-2.528676477,3789
201702.0,RP,-3.735047776,30366
201702.0,RS,-1.792103205,517751
201702.0,SN,0.396465873,12195
201702.0,TH,-0.659619198,44528
201702.0,TW,-0.519032913,38163
201702.0,US,-0.953119745,526989
201702.0,VM,-0.518754605,26566
201703.0,AS,-0.869464811,83446
201703.0,BX,0.344717427,988
201703.0,CA,-0.26007347,96524
201703.0,CH,-0.599938604,238688
201703.0,CI,-0.722587215,69955
201703.0,HK,-0.385389164,11260
201703.0,ID,-1.928930253,30975
201703.0,JA,-0.412257828,177368
201703.0,KS,-1.865763346,108390
201703.0,MX,-1.221033599,118965
201703.0,MY,-2.673103528,45896
201703.0,NZ,-0.161717358,25140
201703.0,PE,-2.128298912,33205
201703.0,PP,-1.600808584,2530
201703.0,RP,-2.840729042,21163
201703.0,RS,-1.691362962,587742
201703.0,SN,-0.227430438,12773
201703.0,TH,-0.509829725,53093
201703.0,TW,0.083151385,40992
201703.0,US,-0.961113205,568898
201703.0,VM,-0.387358287,33473
201704.0,AS,-0.873112344,62421
201704.0,BX,0.259207485,655
201704.0,CA,-0.044753568,80942
201704.0,CH,-0.348373065,220529
201704.0,CI,-0.653317692,56607
201704.0,HK,-0.077450769,7906
201704.0,ID,-1.727868047,22931
201704.0,JA,-0.211299032,147536
201704.0,KS,-0.991764344,89908
201704.0,MX,-1.113457851,95600
201704.0,MY,-1.019124844,20257
201704.0,NZ,-0.585378232,18997
201704.0,PE,-1.413880497,20697
201704.0,PP,-2.764712473,3112
201704.0,RP,-2.181200484,28342
201704.0,RS,-2.712444506,614067
201704.0,SN,-0.339983151,9707
201704.0,TH,-0.648627698,42669
201704.0,TW,0.006710517,33830
201704.0,US,-1.007601179,482010
201704.0,VM,-0.39721648,28671
201705.0,AS,-0.590899903,68666
201705.0,BX,-0.277480369,1022
201705.0,CA,-0.036620496,86578
201705.0,CH,-0.358554826,210600
201705.0,CI,-0.237950194,51553
201705.0,HK,-0.161462773,7731
201705.0,ID,-2.886372616,31993
201705.0,JA,-0.020826024,140794
201705.0,KS,-0.79702346,88530
201705.0,MX,-1.062131403,96137
201705.0,MY,-0.873684023,21592
201705.0,NZ,-0.063221976,20822
201705.0,PE,-0.850739244,21396
201705.0,PP,-2.571813205,2656
201705.0,RP,-3.063623484,30172
201705.0,RS,-1.774116548,636864
201705.0,SN,-0.051564947,10280
201705.0,TH,-1.191023719,45722
201705.0,TW,0.273108534,36927
201705.0,US,-0.92695467,452494
201705.0,VM,-0.156339223,32059
201706.0,AS,-0.908870191,67923
201706.0,BX,0.214761812,617
201706.0,CA,-0.382780445,86525
201706.0,CH,-0.632100825,203549
201706.0,CI,-0.125164274,55896
201706.0,HK,0.086437716,9069
201706.0,ID,-1.811720874,16820
201706.0,JA,-0.61468342,147662
201706.0,KS,-0.412173646,63054
201706.0,MX,-0.896013798,83334
201706.0,MY,-1.122382101,23175
201706.0,NZ,-0.154934176,18609
201706.0,PE,-0.585468746,18408
201706.0,PP,-2.954692284,2776
201706.0,RP,-4.827848633,39145
201706.0,RS,-1.787666556,556774
201706.0,SN,-0.190556667,10263
201706.0,TH,-0.229045513,38560
201706.0,TW,0.327504248,34411
201706.0,US,-0.937385766,442429
201706.0,VM,0.100070123,26468
201707.0,AS,-1.069069491,53068
201707.0,BX,-0.567454365,774
201707.0,CA,-0.316876477,67919
201707.0,CH,-0.603807988,189484
201707.0,CI,-0.355132195,48492
201707.0,HK,0.149931808,8195
201707.0,ID,-1.82829365,17881
201707.0,JA,-0.408254046,130258
201707.0,KS,-0.275718751,60914
201707.0,MX,-1.210039757,72474
201707.0,MY,-0.988626615,19475
201707.0,NZ,-0.371437094,14884
201707.0,PE,-1.252378958,19132
201707.0,PP,-2.130040704,2060
201707.0,RP,-3.267345026,20049
201707.0,RS,-1.696523202,496554
201707.0,SN,-0.08980852,8750
201707.0,TH,-0.548854079,38851
201707.0,TW,-0.121033757,32229
201707.0,US,-1.041868934,412536
201707.0,VM,-0.279667249,29028
201708.0,AS,-0.989442935,56846
201708.0,BX,0.241274857,769
201708.0,CA,-0.457369416,68188
201708.0,CH,-0.79105239,172719
201708.0,CI,-0.870076957,48672
201708.0,HK,-0.712026367,8119
201708.0,ID,-1.589302348,17793
201708.0,JA,-0.581753145,129050
201708.0,KS,-1.173774592,59379
201708.0,MX,-1.321967297,73560
201708.0,MY,-1.611100833,20764
201708.0,NZ,-0.137081388,16272
201708.0,PE,-1.092923159,16616
201708.0,PP,-2.422140216,2593
201708.0,RP,-2.580197472,27981
201708.0,RS,-1.945789802,360946
201708.0,SN,-1.305012565,11522
201708.0,TH,-0.863210436,37021
201708.0,TW,0.046614124,28429
201708.0,US,-1.826883556,459823
201708.0,VM,-0.736283395,25110
201709.0,AS,-0.332691434,52349
201709.0,BX,-0.055958748,716
201709.0,CA,0.05783202,87776
201709.0,CH,-0.3218819,179368
201709.0,CI,-0.495686754,47495
201709.0,HK,-0.310623968,7033
201709.0,ID,-2.432845892,23315
201709.0,JA,-0.26947422,137880
201709.0,KS,-0.667651944,70833
201709.0,MX,-2.193852164,147636
201709.0,MY,-1.487604706,21032
201709.0,NZ,0.096071837,17666
201709.0,PE,-1.005207677,20082
201709.0,PP,-1.813881772,2647
201709.0,RP,-2.812052921,14988
201709.0,RS,-1.681821054,450058
201709.0,SN,-0.082577628,11457
201709.0,TH,-0.655535674,35753
201709.0,TW,0.141559013,31586
201709.0,US,-1.480828189,471278
201709.0,VM,-0.59131402,26471
201710.0,AS,-0.514225055,55795
201710.0,BX,0.652503788,1041
201710.0,CA,-0.430342319,87705
201710.0,CH,-0.00337111,178772
201710.0,CI,-0.298201272,52196
201710.0,HK,0.100584134,8409
201710.0,ID,-2.628791514,21745
201710.0,JA,-0.245529756,164640
201710.0,KS,-0.372438288,60563
201710.0,MX,-1.027442007,86088
201710.0,MY,-1.778286465,26814
201710.0,NZ,0.067360226,20792
201710.0,PE,-0.718286515,21218
201710.0,PP,-3.492957756,3392
201710.0,RP,-2.824004916,23852
201710.0,RS,-1.532489917,488691
201710.0,SN,0.096183488,11450
201710.0,TH,-0.125426287,40714
201710.0,TW,0.43942761,30738
201710.0,US,-1.52043642,492851
201710.0,VM,-1.17207463,29953
201711.0,AS,-0.29093479,64562
201711.0,BX,-0.456988135,1378
201711.0,CA,0.105153253,81046
201711.0,CH,-0.254247169,208812
201711.0,CI,-0.079807232,60021
201711.0,HK,0.27110012,7338
201711.0,ID,-2.739897582,30565
201711.0,JA,-0.522380872,171523
201711.0,KS,-0.571153412,76462
201711.0,MX,-0.859298831,77401
201711.0,MY,-0.719640059,18151
201711.0,NZ,-0.025777594,18525
201711.0,PE,-0.811858376,19442
201711.0,PP,-3.662627884,8806
201711.0,RP,-1.671530558,28400
201711.0,RS,-1.489406163,507613
201711.0,SN,-0.059324886,10603
201711.0,TH,-0.064580404,35488
201711.0,TW,0.318572415,30438
201711.0,US,-1.51434493,477043
201711.0,VM,-0.207002781,48938
201712.0,AS,-0.708011971,61014
201712.0,BX,-0.632026577,1050
201712.0,CA,-0.241493227,74827
201712.0,CH,-0.292569614,168943
201712.0,CI,-0.232363256,52607
201712.0,HK,0.476170861,7238
201712.0,ID,-2.450391209,19710
201712.0,JA,-0.251574435,134846
201712.0,KS,-0.750983536,70707
201712.0,MX,-1.335956981,71254
201712.0,MY,-1.053230241,15839
201712.0,NZ,-0.23899788,14659
201712.0,PE,-1.888754814,26549
201712.0,PP,-2.307444636,2249
201712.0,RP,-4.0803099,24312
201712.0,RS,-1.785038384,481404
201712.0,SN,-0.031106109,7628
201712.0,TH,-0.143633717,37049
201712.0,TW,0.250460237,26477
201712.0,US,-1.298531871,421330
201712.0,VM,-0.064254144,29857
201801.0,AS,-0.565972264,69102
201801.0,BX,-0.524587828,969
201801.0,CA,-0.763670101,83857
201801.0,CH,-0.321469971,199752
201801.0,CI,-1.142628543,76520
201801.0,HK,-0.084562356,8282
201801.0,ID,-2.390722002,18623
201801.0,JA,-0.454772814,145079
201801.0,KS,-0.428814786,95185
201801.0,MX,-0.80665408,84399
201801.0,MY,-0.74292554,17595
201801.0,NZ,0.067799147,19091
201801.0,PE,-2.036317027,29301
201801.0,PP,-2.6051405,2715
201801.0,RP,-3.282502388,17740
201801.0,RS,-1.745374406,443177
201801.0,SN,-0.563037675,8777
201801.0,TH,-0.751204429,43242
201801.0,TW,0.089771241,28960
201801.0,US,-1.10180278,489858
201801.0,VM,-0.229005207,31783
201802.0,AS,-0.704455265,54331
201802.0,BX,0.239610552,621
201802.0,CA,-0.00321962,69654
201802.0,CH,-0.151609338,171260
201802.0,CI,-0.667861387,43616
201802.0,HK,-1.20997871,7011
201802.0,ID,-3.309250402,17701
201802.0,JA,-0.217753469,137926
201802.0,KS,0.022756206,109185
201802.0,MX,-1.292447105,84939
201802.0,MY,-0.609443338,15189
201802.0,NZ,-0.717191267,16278
201802.0,PE,-1.664278818,19867
201802.0,PP,-3.414757148,4635
201802.0,RP,-2.817516961,15988
201802.0,RS,-2.080508658,509627
201802.0,SN,-0.038668083,8528
201802.0,TH,-0.540101664,37105
201802.0,TW,-1.15156475,34666
201802.0,US,-1.27351309,446029
201802.0,VM,0.339970451,22237
201803.0,AS,-0.756856325,71348
